Name,Active,Favorites,Visits,Up Votes,Down Votes,Communication,Created,Updated,Server Size,Genre,Subgenre
Adopt Me!,126659,26978387,37.5B+,7309429,1439349,N/A,7/14/2017,10/11/2024,48,Roleplay & Avatar Sim,Pet Care
Welcome to Bloxburg,35144,13554029,8.9B+,5302944,714420,Microphone Camera,11/3/2014,10/15/2024,12,Roleplay & Avatar Sim,Life
[🗡️JUJUTSU KAISEN🌃] A Universal Time 3.8🚩,34564,1288220,762.2M+,776310,133062,Microphone,6/3/2020,10/12/2024,1,RPG,Action RPG
Emergency Hamburg,9207,509261,424.5M+,202225,38087,Microphone,10/11/2021,10/10/2024,42,Roleplay & Avatar Sim,Life
Swim League [World 6],10715,528181,18.2M+,47441,2169,N/A,8/27/2024,10/15/2024,10,N/A,N/A
Hide or Die!,11041,503875,5.0M+,2613,925,Microphone Camera,8/4/2024,10/15/2024,12,N/A,N/A
Like or Pass,9016,25589,16.1M+,14168,5290,Microphone Camera,9/13/2024,10/15/2024,28,N/A,N/A
[UPDATE!] Speed Draw!,7858,1478653,1.2B+,372592,55282,Microphone,7/10/2021,10/15/2024,8,Party & Casual,Coloring & Drawing
Legends Battlegrounds,7576,118050,45.1M+,66789,16000,Microphone,11/4/2023,10/12/2024,15,N/A,N/A
🛕[GOD] Dragon Soul | Anime Adventure 🐲[x2 Week],7294,467177,108.0M+,300538,14411,Microphone,12/13/2021,10/14/2024,24,RPG,Action RPG
[🆕DUNGEON] Dungeon Quest! ⚔️ RPG Adventure,7010,4147747,2.1B+,1063908,96436,N/A,9/25/2018,10/15/2024,40,RPG,Action RPG
spookfest 🎃 Restaurant Tycoon 2,6300,3913865,1.3B+,1196907,92219,Microphone,7/1/2019,10/10/2024,9,Simulation,Tycoon
Build with Friends [NEW BLOCKS],6938,1005051,19.7M+,64767,2069,Camera,4/12/2024,10/15/2024,9,N/A,N/A
[🍂] Be NPC or DIE!💢,6440,292661,75.3M+,238701,18389,N/A,10/14/2022,10/8/2024,9,Survival,Escape
🎃 [NEW UPD HALLOWEEN] Anime Strike Simulator,5510,27799,6.4M+,102030,2053,Camera,7/8/2024,10/13/2024,12,Simulation,Incremental Simulator
Pull a Sword,5598,373097,206.1M+,947261,24605,N/A,6/22/2023,10/14/2024,8,Simulation,Incremental Simulator
💜 MeepCity 💜,5592,14787659,16.0B+,2856823,483023,Microphone,2/23/2016,10/2/2024,50,Roleplay & Avatar Sim,N/A
Chicken🐔,5410,23216,5.3M+,13548,1405,Microphone,7/25/2024,10/15/2024,10,N/A,N/A
Short Horror Games,5471,93029,2.7M+,3199,858,Microphone Camera,7/10/2024,10/4/2024,24,N/A,N/A
🍂 Maple Hospital,4743,1020887,1.1B+,307773,56789,Microphone Camera,2/1/2022,10/14/2024,50,Roleplay & Avatar Sim,Life
CHECK DESCRIPTION,4618,6767,9.5M+,4102,855,Microphone Camera,7/9/2024,10/10/2024,12,N/A,N/A
Energy Drink Simulator ⚡,3942,285137,2.3M+,29641,554,N/A,1/23/2024,10/15/2024,7,N/A,N/A
[HALLOWEEN🎃] Toilet Legacy Defense,3568,18399,10.1M+,28371,3129,Microphone Camera,6/20/2024,10/15/2024,25,N/A,N/A
[UPDATE] SharkBite 2 🦈,3881,561413,331.9M+,313735,40689,Microphone,2/22/2022,10/9/2024,18,Survival,1 vs All
NEW Graphics!✨ Car Crushers 2 - Physics Sim,3765,4297341,1.1B+,1496821,121611,Microphone,2/11/2017,10/12/2024,18,Simulation,N/A
